S. No	Club/Chapter Name	Category
1	DESIGNERS CLUB	TECHNICAL CLUB
2	PLACEXP	TECHNICAL CLUB
3	RESOURCEXP	TECHNICAL CLUB
4	VIT FINANCE AND MANAGEMENT CLUB	TECHNICAL CLUB
5	CODECHEF – VIT	TECHNICAL CLUB
6	GOOGLE DEVELOPER STUDENT CLUB (GDSC)	TECHNICAL CLUB
7	DREAM MERCHANTS	TECHNICAL CLUB
8	ENTREPRENEURSHIP CELL (E-CELL)	TECHNICAL CLUB
9	INTERNET OF THINGS COMMUNITY (IOTHINC)	TECHNICAL CLUB
10	LINUX CLUB	TECHNICAL CLUB
11	ROBOTICS CLUB	TECHNICAL CLUB
12	GAME DEVELOPMENT CLUB	TECHNICAL CLUB
13	AEROSPACE CLUB	TECHNICAL CLUB
14	ANDROID CLUB	TECHNICAL CLUB
15	AUTOMONOUS UNMANNED VEHICLE CLUB	TECHNICAL CLUB
16	AUTOVIT	TECHNICAL CLUB
17	BUSINESS INNOVATION COMMUNITY (BiC)	TECHNICAL CLUB
18	CAD CLUB	TECHNICAL CLUB
19	CIVITEK	TECHNICAL CLUB
20	CLOUD COMPUTING CLUB	TECHNICAL CLUB
21	CODE Y-GEN	TECHNICAL CLUB
22	DATA ANALYTICS CLUB	TECHNICAL CLUB
23	HUMANOID CLUB	TECHNICAL CLUB
24	MICROSOFT INNOVATION CLUB	TECHNICAL CLUB
25	OPEN SOURCE PROGRAMMING CLUB	TECHNICAL CLUB
26	TECH RESEARCHERS CLUB (TRC)	TECHNICAL CLUB
27	THE HACK CLUB	TECHNICAL CLUB
28	ZERO BUGS CLUB	TECHNICAL CLUB
29	THE INDIAN SOCIETY OF HEATING, REFRIGERATING AND AIR CONDITIONING ENGINEERS (ISHRAE)	TECHNICAL CHAPTER
30	MATHEMATICS CLUB	TECHNICAL CLUB
31	ENERGY AND FUEL USER’S ASSOCIATION (ENFUSE)	TECHNICAL CLUB
32	INDIAN CONCRETE INSTITUTE STUDENT CHAPTER	TECHNICAL CHAPTER
33	INDIAN ASSOCIATION OF ENERGY MANAGEMENT PROFESSIONALS (IAEMP) STUDENT CHAPTER	TECHNICAL CHAPTER
34	SOCIETY OF AUTOMOTIVE ENGINEERS (SAE)	TECHNICAL CLUB
35	SEDS ANTARIKSH CHAPTER	TECHNICAL CLUB
36	OPTICAL SOCIETY OF AMERICA	TECHNICAL CLUB
37	CYSCOM	TECHNICAL CLUB
38	SPIE STUDENT CHAPTER	TECHNICAL CLUB
39	INSTITUTE ELECTRICAL & ELECTRONICS ENGINEERING (IEEE)	TECHNICAL CHAPTER
40	IEEE COMPUTER SOCIETY (IEEE-CS)	TECHNICAL CHAPTER
41	IEEE POWER AND ENERGY SOCIETY (IEEE-PES)	TECHNICAL CHAPTER
42	IEEE ROBOTICS & AUTOMATION SOCIETY (IEEE-RAS)	TECHNICAL CHAPTER
43	IEEE SIGNAL PROCESSING SOCIETY (IEEE-SPS)	TECHNICAL CHAPTER
44	IEEE WOMEN IN ENGINEERING (IEEE-WIE)	TECHNICAL CHAPTER
45	IEEE PHOTONICS SOCIETY	TECHNICAL CHAPTER
46	NEXSEED	TECHNICAL CLUB
47	BIONARY CLUB	TECHNICAL CLUB
48	NEWTON SCHOOL CODING CLUB	TECHNICAL CLUB
49	DAO COMMUNITY	TECHNICAL CLUB
50	ACM STUDENT CHAPTER	TECHNICAL CLUB
51	ANIMATION CLUB	TECHNICAL CLUB
52	AUGMENTED & VIRTUAL REALITY (AVR) CLUB	TECHNICAL CLUB
53	IEEE ENGINEERING IN MEDICINE AND BIOLOGY	TECHNICAL CHAPTER
54	iSPACE CLUB	TECHNICAL CLUB
55	PRODINNO	TECHNICAL CLUB
56	180DC (180 DEGREES CONSULTING) VITC	TECHNICAL CLUB
57	ARTIFICIAL INTELLIGENCE CLUB	TECHNICAL CLUB
